Acumulado;Fecha acumulado   ;fecha           
413,788;1998-03-28 08:00:00;1998-03-28 00:00:00
412,782;1998-03-29 08:00:00;1998-03-29 00:00:00
412,782;1998-03-30 08:00:00;1998-03-30 00:00:00
413,184;1998-03-31 08:00:00;1998-03-31 00:00:00
413,184;1998-04-01 08:00:00;1998-04-01 00:00:00
413,385;1998-04-02 08:00:00;1998-04-02 00:00:00
414,191;1998-04-03 08:00:00;1998-04-03 00:00:00
416,615;1998-04-04 08:00:00;1998-04-04 00:00:00
419,458;1998-04-05 08:00:00;1998-04-05 00:00:00
420,885;1998-04-06 08:00:00;1998-04-06 00:00:00
421,498;1998-04-07 08:00:00;1998-04-07 00:00:00
424,575;1998-04-08 08:00:00;1998-04-08 00:00:00
426,017;1998-04-09 08:00:00;1998-04-09 00:00:00
426,43;1998-04-10 08:00:00;1998-04-10 00:00:00
426,636;1998-04-11 08:00:00;1998-04-11 00:00:00
426,43;1998-04-12 08:00:00;1998-04-12 00:00:00
426,223;1998-04-13 08:00:00;1998-04-13 00:00:00
426,43;1998-04-14 08:00:00;1998-04-14 00:00:00
427,05;1998-04-15 08:00:00;1998-04-15 00:00:00
430,785;1998-04-16 08:00:00;1998-04-16 00:00:00
427,463;1998-04-17 08:00:00;1998-04-17 00:00:00
422,522;1998-04-18 08:00:00;1998-04-18 00:00:00
419,661;1998-04-19 08:00:00;1998-04-19 00:00:00
419,458;1998-04-20 08:00:00;1998-04-20 00:00:00
420,681;1998-04-21 08:00:00;1998-04-21 00:00:00
424,575;1998-04-22 08:00:00;1998-04-22 00:00:00
428,914;1998-04-23 08:00:00;1998-04-23 00:00:00
430,16;1998-04-24 08:00:00;1998-04-24 00:00:00
430,993;1998-04-25 08:00:00;1998-04-25 00:00:00
430,993;1998-04-26 08:00:00;1998-04-26 00:00:00
432,453;1998-04-27 08:00:00;1998-04-27 00:00:00
432,662;1998-04-28 08:00:00;1998-04-28 00:00:00
433,918;1998-04-29 08:00:00;1998-04-29 00:00:00
437,071;1998-04-30 08:00:00;1998-04-30 00:00:00
437,704;1998-05-01 08:00:00;1998-05-01 00:00:00
437,704;1998-05-02 08:00:00;1998-05-02 00:00:00
436,65;1998-05-03 08:00:00;1998-05-03 00:00:00
435,808;1998-05-04 08:00:00;1998-05-04 00:00:00
436,65;1998-05-05 08:00:00;1998-05-05 00:00:00
437,071;1998-05-06 08:00:00;1998-05-06 00:00:00
437,493;1998-05-07 08:00:00;1998-05-07 00:00:00
437,704;1998-05-08 08:00:00;1998-05-08 00:00:00
438,126;1998-05-09 08:00:00;1998-05-09 00:00:00
438,761;1998-05-10 08:00:00;1998-05-10 00:00:00
439,607;1998-05-11 08:00:00;1998-05-11 00:00:00
441,093;1998-05-12 08:00:00;1998-05-12 00:00:00
441,305;1998-05-13 08:00:00;1998-05-13 00:00:00
440,456;1998-05-14 08:00:00;1998-05-14 00:00:00
